질병명,주요증상
갑상선기능저하증(Hypothyroidism)," | 거친 피모 , 곤두선 털 | 과각화증 , 두꺼운 피부 | 난산 | 무기력 , 침울 , 졸림 , 생기없음 | 발육정지 , 체중증가없음 , 성장지연 | 배변량 감소 , 변비 , 배변 안됨 | 비만 , 체중과다 , 과체중 | 서맥 , 느린 심박동이나 맥박 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 저체온증 , 낮은체온 | 탈모 , 무모증 | 털이 광택이 없이 덥수룩 하거나 지저분함 | 피부 부종 | 피부 인설 , 비듬 , 비늘 | 피부 , 털의 건조 "
갑상선기능항진증 (Hyperthyroidism),"| 1도 방실 심 차단 | 2도 방실 심 차단 | 각차단 , 좌각차단 , 우각차단 , 양각차단 | 거친 피모 , 곤두선 털 | 걷다 앞으로 넘어짐 , 목적없이 배회 | 구강점막의 울혈 , 홍반 , 발적 | 구토 | 기침 | 다뇨증 | 다식증 , 과도한 식욕 | 다음 , 많이 마심 , 지나친 갈증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 떨림 , 전율 , 오한 | 맥박 강도 증가 | 무기력 , 침울 , 졸림 , 생기없음 | 목 부위 종창 , 경부의 종괴 | 목소리 변성 | 발열 , 고열 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 부정맥 , 불규칙한 심박 및 맥박 | 분마율동 , 분마성 리듬 , 분마성 리듬 | 분변 냄새의 이상 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 심방 빈맥 , 빈박 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 심방 빈맥 , 빈박 | 심방 조기 박동 | 심실 기외 수축 , 다발성 혹은 단발성 | 심실 이탈 박동 | 심실확장 , 좌 , 우 혹은 양쪽 | 심음의 감소 | 심잡음 | 약맥 , 소맥 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 재채기 | 전신허약 , 부전마비 , 마비 | 지각과민 , 예민함 , 과다운동 | 지루성 피부 , 털 , 깃털 , 깃털 | 지방변 | 진전 | 체중감소 | 탈모 , 무모증 | 탈수 | 털이 광택이 없이 덥수룩 하거나 지저분함 | 폐포음 감소 , 호흡음이 없음 | 피부 , 털의 건조 | 피하 염발음 , 피하기종 | 혈뇨 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 후두 , 기관 , 인두의 종창 , 종괴 | 흥분 , 헛소리 , 광분"
"각결막염, 건성(Keratoconjunctivitis sicca : KCS)","| 각막 색소침착 이상 | 각막의 궤양 , 미란 | 각막의 부종 , 혼탁 | 각막혈관신생 , 판누스  | 결막 부종 | 결막 , 공막의 발적 | 결막 , 공막의 충혈 , 혈관의 이상 | 눈물이 적음 , 안구건조증 | 눈부심 , 수명 , 수명 | 눈의 통증 , 안통 | 눈의 화농성 분비물 | 동공부동 | 무기력 , 침울 , 졸림 , 생기없음 | 실명 , 시력상실 | 안검내번 , 눈꺼풀이 속으로 말림 | 안검연축 , 경련 , 경련 | 안구함몰 , 눈이 움푹 꺼짐 | 제3안검 탈출 , 순막의 돌출 | 축동 , 동공축소"
고양이 백혈병 바이러스(Feline Leukemia Virus:FeLV),"| 각막의 궤양 , 미란 | 각막의 부종 , 혼탁 | 각막의 종창 , 종괴 , 결절 | 각막혈관신생 , 판누스 | 간 , 비장 종대 , 비장종대 , 간종대 | 거리감각불능 , 거리감각 과대 및 과소 | 구강점막의 울혈 , 홍반 , 발적 | 구강점막의궤양 , 수포 | 구역질 | 구토 | 근 긴장증 , 근 경직증 | 기립불능 , 다우너 | 기침,꼬리 | 무기력 , 침울 , 졸림 , 생기없음 | 다뇨증 | 다식증 , 과도한 식욕 | 다음 , 많이 마심 , 지나친 갈증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 단백뇨 | 대안구증 , 녹내장 | 동공 형태 비정상 또는 홍채의 결함 | 동공부동 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 위축 , 야윔 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 , 발가락 종창 , 종괴 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 망막 박리 | 망막반사 이상 | 망막출혈 | 망막혈관 크기 이상 | 무기력 , 침울 , 졸림 , 생기없음 , 처짐 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 목 , 경부 , 목구멍 통증 | 목의 경직 , 뻣뻣한 목 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발열 , 고열 종창 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 배변량 감소 , 변비 , 배변 안됨 | 백내장 , 수정체 혼탁 | 복강 외부 압박에 따른 통증 | 복강내부 종괴 , 종창 , 유착 | 복부팽만 | 복수 | 비정상적인 자세 | 비출혈 , 코피 | 심방 빈맥 , 빈박 | 빛에 대한 동공의 비정상 반응 | 사시 , 사팔뜨기 | 사지마비 , 무기력 | 산동 , 확장된 동공 | 상부기도의 비정상 호흡음 , 코고는 소리 | 선회운동 | 설사 , 하리 | 모세혈관 재충만 시간 지연 | 소리 계속 지르기 , 소리가 커짐 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 신장 종대 촉진 | 실명 , 시력상실 | 심음의 감소 | 안검하수 | 안구 전방출혈 ,  ""블랙 아이""  | 안구돌출 | 안구진탕 , 안구불수의적운동 | 안구함몰 , 눈이 움푹 꺼짐 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 암컷의 불임증 , 저 수태 | 앞다리 반사 이상(증가나 감소) | 앞다리 위축 , 야윔 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 파행 , 경직 , 절름발이 | 앞다리 허약 , 무기력 , 부전마비 , 마비 | 약맥 , 소맥 | 외음부 , 질의 악취냄새 , 분비물 | 외음부 , 질의 화농성 분비물 | 요실금 | 요통 , 허리 통증 , 허리 통증 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 유리체(초자체) 혼탁 또는 침전물 | 유산 , 허약한 새끼 분만 , 사산 | 유착증 , 유착 , 유착 | 이급후증 , 배변곤란 | 이동거부 | 저체온증 , 낮은체온 | 적색뇨 , 갈색뇨 | 전방축농 , 안구전방에 지질이나 섬유소 축적 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 점상 또는 반상출혈 , 타박상 | 제3안검 탈출 , 순막의 돌출 | 지각과민 , 예민함 , 과다운동 | 점막 , 피부 창백 , 빈혈 | 체중감소 | 축동 , 동공축소 | 출혈 , 응고부전 | 탈수 | 폐포음 감소 , 호흡음이 없음 | 피부 괴사 , 가피 , 괴저 | 피부 , 귀 , 다리 냉감 | 피부 누관 , 공동형성 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 피하 지방 조직층 반사 이상(증가나 감소) | 항문 , 회음부 , 꼬리 반사 이상 | 혈뇨 | 혈변 | 혈변 , 분변내 잠혈 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 호흡시 이상한 냄새 , 구강의 악취 | 혼수 , 혼미 | 홍채의 색소침착 이상 | 황달"
"고양이 전염성 복막염(Feline infectious peritonitis, FIP)"," | 각막의 부종 , 혼탁 | 각막혈관신생 , 판누스 | 간 , 비장 종대 , 비장종대 , 간종대 | 거리감각불능 , 거리감각 과대 및 과소 | 거친 피모 , 곤두선 털 | 걷다 앞으로 넘어짐 , 목적없이 배회 | 결막 , 공막의 발적 | 결막 , 공막의 충혈 , 혈관의 이상 | 구토 | 근 긴장증 , 근 경직증 | 근육긴장저하 | 기침 | 눈물흘림 , 장액성 분비물 , 축축한 눈 | 눈부심 , 수명 , 수명 | 눈의 통증 , 안통 , 안통 | 눈의 화농성 분비물 | 다뇨증 | 다식증 , 과도한 식욕 | 다음 , 많이 마심 , 지나친 갈증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 당뇨 | 동공부동 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 파행 , 경직 , 절름발이 | 떨림 , 전율 , 오한 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 망막 박리 | 망막반사 이상 | 망막주름 , 융기 | 망막출혈 | 망막혈관 크기 이상 | 머리 기울기 | 무기력 , 침울 , 졸림 , 생기없음 , 처짐 | 목 , 경부 , 목구멍 통증 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발육정지 , 체중증가없음 , 성장지연 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 방향 감각 상실 , 기억 상실 | 배변량 감소 , 변비 , 배변 안됨 | 복강 외부 압박에 따른 통증 | 복강내부 종괴 , 종창 , 유착 | 복부팽만 | 복수 | 분변 실금 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 비정상적인 자세 | 심방 빈맥 , 빈박 | 빛에 대한 동공의 비정상 반응 | 사지마비 , 무기력 | 산동 , 확장된 동공 | 선회운동 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 시신경 위축 , 크기감소 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 신장 종대 촉진 | 실명 , 시력상실 | 심음의 감소 | 심전도 전압 감소 | 안검연축 , 경련,경련 | 안구 전방출혈 ,  ""블랙 아이""  | 안구진탕 , 안구불수의적운동 | 앞다리 반사 이상(증가나 감소) | 앞다리 지각감퇴 , 무감각 | 앞다리 파행 , 경직 , 절름발이 | 연하곤란 , 연하장애 | 요실금 | 요통 , 허리 통증 | 운동기피 , 쉽게 지침 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 유두부종 , 시신경 크기 증가 | 유리체(초자체) 혼탁 또는 침전물 | 유착증 , 유착 , 유착 | 음경 , 포피 , 고환 , 음낭의 종대 , 종괴 | 음낭 , 고환 크기 이상 | 이식증 , 이기증(이물 섭취 기호증) | 전방축농 , 안구전방에 지질이나 섬유소 축적 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 점액양 비강 분비물 , 장액성 , 수양성 | 지각과민 , 예민함 , 과다운동 | 진전 | 점막 , 피부 창백 , 빈혈 | 청색증 , 피부나 점막이 푸름 | 체중감소 | 축동 , 동공축소 | 케톤뇨 , 우유나 뇨중에 케톤체 | 탈수 | 편측 부전마비 | 폐포음 감소 , 호흡음이 없음 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 화농성 비강 분비물 | 황달 | 후궁반장 | 흥분 , 헛소리 , 광분"
"고양이의 이상 배뇨(Housesoiling in cats, Urine)"," | 비정상적 또는 공격적 행동 , 습성이 바뀜"
구비강 누공 (Oronasal fistula)," | 거친 피모 , 곤두선 털 | 구강 , 혀의 종창 , 종괴 | 구개열 , 구순열 | 비도 비강내 섭취물 | 수척 , 건강상태 불량 , 증체율 불량 | 이빨의 결손 , 이빨수 감소 | 재채기 | 점액양 비강 분비물 , 장액성 , 수양성 | 체중감소 | 호흡시 이상한 냄새 , 구강의 악취 | 화농성 비강 분비물 "
웅성호르몬결핍증(Hypoandrogenism)," | 거친 피모 , 곤두선 털 | 소양감 , 가려움 | 탈모 , 무모증 | 피부 색소 과잉 침착 | 피부 인설 , 비듬 , 비늘 | 피부 , 털의 건조 | 피부가 비쩍 마름 , 야윈 피부 | 피부색소침착감소 , 백반증 , 백피증 "
노카르디아증(Nocardiosis)," | 가슴 , 흉강 타진시 둔탁한 부위 | 골반 및 회음부의 종창 , 종괴 | 골반 , 둔부 통증 | 기침 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 뒷다리 | 무기력 , 침울 , 졸림 , 생기없음 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리뼈 노출 | 뒷발 , 발가락 종창 , 종괴 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 복강 외부 종창 , 종괴 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 비정상적인 자세 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리뼈 노출 | 앞발 , 발가락 종창 , 종괴 | 요통 , 허리 통증 | 전신허약 , 부전마비 , 마비 | 점액양 비강 분비물 , 장액성 , 수양성 | 진전 | 점막 , 피부 창백 , 빈혈 | 체중감소 | 탈모 , 무모증 | 탈수 | 폐포음 감소 , 호흡음이 없음 | 피부 괴사 , 가피 , 괴저 | 피부 누관 , 공동형성 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 , 털 , 깃털이 축축함 | 피부의 궤양 , 미란 , 찰과상 | 피부의 악취 , 냄새 , 냄새 | 피부의 화농성 분비물 | 피하 염발음 , 피하기종 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 화농성 비강 분비물 | 후두 , 기관 , 인두의 종창 , 종괴 "
렙토스피라증(Leptospirosis)," | 갈증이 줄어듬 , 갈증이 없음 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 결막 , 공막의 발적 | 결막 , 공막의 충혈 , 혈관의 이상 | 구강점막의 울혈 , 홍반 , 발적 | 구강점막의궤양 , 수포 | 구토 | 급사 , 돌연사 | 기립불능 , 다우너 | 기침 | 눈물흘림 , 장액성 분비물 , 축축한 눈 | 눈의 화농성 분비물 | 다뇨증 | 다음 , 많이 마심 , 지나친 갈증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 단백뇨 | 당뇨 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 파행 , 경직 , 절름발이 | 떨림 , 전율 , 오한 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 모세혈관 재충만 시간 지연 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 방향 감각 상실 , 기억 상실 | 배뇨곤란 | 복강 외부 압박에 따른 통증 | 복수 | 부정맥 , 불규칙한 심박 및 맥박 | 비출혈 , 코피 , 코피 | 심방 빈맥 , 빈박 | 서맥 , 느린 심박동이나 맥박 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 신장 종대 촉진 | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 요통 , 허리 통증 , 허리 통증 | 이동거부 | 저체온증 , 낮은체온 | 적색뇨 , 갈색뇨 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 점상 또는 반상출혈 , 타박상 | 점액양 비강 분비물 , 장액성 , 수양성 | 체중감소 | 출혈 , 응고부전 | 탈수 | 토혈증 | 피부 , 귀 , 다리 냉감 | 피부 부종 | 핍뇨 , 무뇨증 , 요 정체 | 혈뇨 | 혈변 | 혈색소뇨 , 근색소뇨 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 호흡시 이상한 냄새 , 구강의 악취 | 혼수 , 혼미 | 화농성 비강 분비물 | 황달"
